itrial,d,method,coverage,width
42,10,jackknife-mm,0.9,3.6048765266382286
42,10,CV+,0.88,3.374090208239341
42,10,split,0.89,3.5749304075505353
43,10,naive,0.86,2.967015391131442
43,10,jackknife,0.91,3.30783502879575
43,10,jackknife+,0.9,3.3000432563127498
43,10,jackknife-mm,0.92,3.5431577973966473
43,10,CV+,0.89,3.303526527084135
43,10,split,0.95,3.9921473814629804
44,10,naive,0.85,2.775493163515195
44,10,jackknife,0.9,3.145023643269271
44,10,jackknife+,0.89,3.101902287206928
44,10,jackknife-mm,0.9,3.3616042530329757
44,10,CV+,0.9,3.1651037325703095
44,10,split,0.94,3.8269779402166937
45,10,naive,0.88,3.0540649060838696
45,10,jackknife,0.92,3.4553923688374293
45,10,jackknife+,0.92,3.4547544953118727
45,10,jackknife-mm,0.94,3.7185170218589327
45,10,CV+,0.92,3.4615368064332337
45,10,split,0.94,3.994815151441575
46,10,naive,0.95,3.8180178460151524
46,10,jackknife,0.96,4.13098859825372
46,10,jackknife+,0.96,4.193171429675391
46,10,jackknife-mm,0.98,4.459484597787004
46,10,CV+,0.96,4.310419817040745
46,10,split,0.97,5.7368991568975325
47,10,naive,0.84,3.048571223677902
47,10,jackknife,0.89,3.701023809707976
47,10,jackknife+,0.87,3.625691611634871
47,10,jackknife-mm,0.93,3.967925189132875
47,10,CV+,0.9,3.706896071441292
47,10,split,0.92,3.9829166584294176
48,10,naive,0.85,3.3698554608891977
48,10,jackknife,0.9,3.7140149107884266
48,10,jackknife+,0.91,3.7156261540948106
48,10,jackknife-mm,0.91,3.978028936767785
48,10,CV+,0.93,3.797623243690625
48,10,split,0.87,3.8127977678485805
49,10,naive,0.87,3.3191162089290946
49,10,jackknife,0.89,3.6292832542366273
49,10,jackknife+,0.9,3.6428661578378825
49,10,jackknife-mm,0.94,3.894313411048949
49,10,CV+,0.88,3.584447727303319
49,10,split,0.89,3.770164303842326
0,15,naive,0.84,2.906634142489515
0,15,jackknife,0.91,3.4675416861648505
0,15,jackknife+,0.91,3.443789141332774
0,15,jackknife-mm,0.92,3.7544820085266206
0,15,CV+,0.92,3.587682337227031
0,15,split,0.94,3.811951987020677
1,15,naive,0.81,3.3313907282326856
1,15,jackknife,0.84,3.750446031421669
1,15,jackknife+,0.84,3.695975872989739
1,15,jackknife-mm,0.88,4.061192100621602
1,15,CV+,0.83,3.7308780676825113
1,15,split,0.86,3.6779544047428767
2,15,naive,0.87,3.574253471431517
2,15,jackknife,0.94,4.412073941486086
2,15,jackknife+,0.93,4.370842812492192
2,15,jackknife-mm,0.96,4.769257223321346
2,15,CV+,0.94,4.4194620104926585
2,15,split,0.85,4.0325237061611965
3,15,naive,0.77,2.930537050682693
3,15,jackknife,0.87,3.385434609549459
3,15,jackknife+,0.88,3.4056340248731742
3,15,jackknife-mm,0.94,3.7244211504728617
3,15,CV+,0.93,3.621933565323493
3,15,split,0.97,4.86983986404384
4,15,naive,0.84,3.108262708073483
4,15,jackknife,0.89,3.656020103023815
4,15,jackknife+,0.89,3.674300737075261
4,15,jackknife-mm,0.92,4.0083013464154496
4,15,CV+,0.92,3.808741862692703
4,15,split,0.9,3.6255430318802833
5,15,naive,0.85,3.2893624706385935
5,15,jackknife,0.9,3.783923335809011
5,15,jackknife+,0.9,3.748937858525319
5,15,jackknife-mm,0.93,4.123193945935364
5,15,CV+,0.91,3.908581374999627
5,15,split,0.87,3.7237056868326603
6,15,naive,0.87,3.010450421742936
6,15,jackknife,0.93,3.4518969552676917
6,15,jackknife+,0.93,3.4534492899688134
6,15,jackknife-mm,0.94,3.7650152063487727
6,15,CV+,0.93,3.4314083183241557
6,15,split,0.89,3.340410057377239
7,15,naive,0.83,3.1150174896760454
7,15,jackknife,0.89,3.7003868326312546
7,15,jackknife+,0.89,3.7298792558044704
7,15,jackknife-mm,0.91,4.07637589376096
7,15,CV+,0.89,3.7843141841503893
7,15,split,0.91,3.948723694645864
8,15,naive,0.91,3.259478757785081
8,15,jackknife,0.93,3.5755098133617635
8,15,jackknife+,0.96,3.6830657500285504
8,15,jackknife-mm,0.97,3.91830005938761
8,15,CV+,0.95,3.826880882667063
8,15,split,0.93,3.4976417986543975
9,15,naive,0.85,2.7585844861107813
9,15,jackknife,0.94,3.4330625312299903
9,15,jackknife+,0.95,3.46242591862718
